SE270,SE131,TF14,SE605,SE080,SE475,SE450,SE600,SE011,SE446,SE460,SE455,SE025,SE480,SE380,SE441,SE370,YEAR,SE281,SE136,SE375,SE420,SE206,FADN_2012_,SE132,SE256,SE360,SE207,SE470,SE336,REGION,SE135
265049.0,276982.0,(50) Specialist granivores,31001.0,279.6,665.0,109178.0,30293.0,4737.93,779736.0,24477.0,103493.0,80.73,47861.0,12136.0,1016876.0,12887.0,2004,136598.0,827.20127553,13814.0,39203.0,197432.0,10,1.0450188324,17766.0,29510.0,706.11652674,66601.0,60104.0,(0010) Schleswig-Holstein,61784.0
254320.0,276790.0,(70) Mixed livestock,36088.0,216.71,740.0,64138.0,34834.0,5060.98,613831.0,65557.0,62476.0,98.13,56056.0,7537.0,805463.0,12980.0,2004,125792.0,502.69013513,21624.0,55783.0,221199.0,10,1.0883516113,8551.0,23130.0,1020.6983743999999,63667.0,63257.0,(0010) Schleswig-Holstein,47040.0
227867.0,235224.0,(80) Mixed crops and livestock,43190.0,155.85,592.0,57804.0,41681.0,4079.76,828391.0,19447.0,72303.0,104.0,45210.0,7735.0,977882.0,6525.0,2004,110584.0,830.98770396,21412.0,47539.0,133347.0,10,1.0322826145000001,19109.0,24325.0,855.63080556,48087.0,57287.0,(0010) Schleswig-Holstein,82768.0
131778.0,127647.0,(36) Specialist orchards - fruits,4669.0,0.67,4366.0,66332.0,4088.0,7060.73,649376.0,0.0,70276.0,18.61,39478.0,6820.0,785984.0,25249.0,2004,21809.0,6136.907308,2652.0,-2939.0,60.0,20,0.9686522143999999,13369.0,31984.0,89.23400223799999,761.0,43264.0,(0020) Hamburg,114218.0
118848.0,108470.0,(15) Specialist COP,35327.0,5.49,1446.0,32742.0,32562.0,2990.74,915349.0,1079.0,69981.0,100.81,36288.0,5795.0,1019151.0,1616.0,2004,33679.0,840.38559925,18332.0,21220.0,10643.0,30,0.91267563,19001.0,18287.0,1939.402012,2610.0,41139.0,(0030) Niedersachsen,78826.0
154901.0,167093.0,(16) Specialist other fieldcrops,26387.0,9.06,535.0,51129.0,25569.0,3821.98,1050894.0,920.0,79998.0,97.28,67504.0,6121.0,1182941.0,11381.0,2004,48294.0,1502.0255157,17952.0,35654.0,8028.0,30,1.0787088539,23758.0,24211.0,879.93088224,3495.0,46940.0,(0030) Niedersachsen,135307.0
134960.0,143128.0,(36) Specialist orchards - fruits,2569.0,0.4,5905.0,81771.0,1834.0,7511.58,607012.0,236.0,71095.0,19.33,48326.0,7264.0,760114.0,26484.0,2004,24804.0,6563.7483576,2310.0,7983.0,133.0,30,1.0605266124,16138.0,31847.0,329.95798319,144.0,42250.0,(0030) Niedersachsen,126858.0
138214.0,156272.0,(45) Specialist milk,17693.0,112.08,220.0,81161.0,19287.0,3816.42,411859.0,63699.0,53338.0,65.8,43829.0,6134.0,608873.0,3458.0,2004,54377.0,115.91211222,15319.0,35549.0,143651.0,30,1.1306521594,5192.0,17347.0,1281.6574461,37595.0,41578.0,(0030) Niedersachsen,7430.0
93590.0,90910.0,(49) Specialist cattle,24088.0,90.38,345.0,46352.0,23082.0,3270.65,518074.0,28893.0,29665.0,55.23,32629.0,4825.0,622572.0,1607.0,2004,37133.0,115.18189861,8189.0,19556.0,77653.0,30,0.9713616493,7014.0,10643.0,859.17030358,59466.0,31192.0,(0030) Niedersachsen,6243.0
248407.0,279871.0,(50) Specialist granivores,19413.0,284.99,488.0,133892.0,22471.0,3943.56,373590.0,36300.0,93885.0,57.8,60473.0,8165.0,637654.0,4823.0,2004,139025.0,697.83879604,15609.0,51319.0,229458.0,30,1.1266630371,12640.0,28446.0,805.14567147,63165.0,52339.0,(0030) Niedersachsen,37773.0
